Site,ID, Lat,Lon,Elev,Species,JanMean,FebMean,MarMean,AprMean,MayMean,JunMean,JulMean,AugMean,SepMean,OctMean,NovMean,DecMean,JanStd,FebStd,MarStd,AprStd,MayStd,JunStd,JulyStd,AugStd,SepStd,OctStd,NovStd,DecStd
Bliss SP (TRPA),BLIS1, NO3f,     38.98,   -120.10,   2130.00,      0.11,      0.43,      0.10,      0.18,      0.16,      0.21,      0.10,      0.09,      0.23,      0.16,      0.09,      0.07,      0.07,      0.39,      0.09,      0.15,      0.13,      0.20,      0.06,      0.03,      0.19,      0.13,      0.10,      0.06,
Bliss SP (TRPA),BLIS1, SO4f,     38.98,   -120.10,   2130.00,      0.14,      0.28,      0.35,      0.54,      0.64,      0.63,      0.95,      0.81,      0.55,      0.46,      0.28,      0.09,      0.09,      0.13,      0.35,      0.16,      0.28,      0.34,      0.37,      0.33,      0.19,      0.28,      0.17,      0.04,
    Blue Mounds,BLMO1, NH4f,    473.00,      7.00,      7.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
    Blue Mounds,BLMO1,  ECf,    473.00,      7.00,      7.00,      0.22,      0.22,      0.26,      0.44,      0.35,      0.29,      0.27,      0.38,      0.33,      0.32,      0.27,      0.32,      0.11,      0.09,      0.19,      0.39,      0.49,      0.22,      0.13,      0.19,      0.18,      0.13,      0.19,      0.18,
    Blue Mounds,BLMO1,  OCf,    473.00,      7.00,      7.00,      0.67,      0.57,      0.69,      1.42,      1.50,      1.12,      1.26,      1.54,      1.53,      0.90,      0.82,      0.73,      0.29,      0.22,      0.63,      1.51,      3.00,      1.03,      0.50,      0.87,      1.14,      0.42,      0.67,      0.42,
    Blue Mounds,BLMO1, NO3f,    473.00,      7.00,      7.00,      4.25,      3.92,      3.05,      2.24,      1.12,      0.65,      0.45,      0.59,      0.58,      1.49,      1.44,      4.20,      3.68,      1.97,      1.68,      1.99,      0.83,      0.73,      0.22,      0.35,      0.42,      1.11,      1.05,      2.62,
    Blue Mounds,BLMO1, SO4f,    473.00,      7.00,      7.00,      1.78,      2.14,      1.88,      2.07,      1.63,      2.56,      2.26,      2.47,      2.67,      1.30,      1.06,      1.15,      1.30,      1.57,      0.58,      1.21,      0.75,      2.91,      1.78,      1.99,      3.13,      0.76,      0.85,      0.43,
Bosque del Apac,BOAP1, NH4f,     33.87,   -106.85,   1389.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Bosque del Apac,BOAP1,  ECf,     33.87,   -106.85,   1389.00,      0.21,      0.19,      0.15,      0.13,      0.14,      0.26,      0.20,      0.13,      0.16,      0.20,      0.30,      0.37,      0.11,      0.10,      0.08,      0.07,      0.05,      0.16,      0.13,      0.05,      0.05,      0.09,      0.25,      0.32,
Bosque del Apac,BOAP1,  OCf,     33.87,   -106.85,   1389.00,      0.57,      0.45,      0.43,      0.59,      0.69,      1.38,      1.01,      0.61,      0.68,      0.71,      0.77,      0.76,      0.34,      0.18,      0.14,      0.57,      0.36,      0.57,      0.53,      0.16,      0.34,      0.26,      0.49,      0.61,
Bosque del Apac,BOAP1, NO3f,     33.87,   -106.85,   1389.00,      0.21,      0.30,      0.13,      0.14,      0.14,      0.11,      0.11,      0.07,      0.06,      0.14,      0.17,      0.45,      0.17,      0.27,      0.04,      0.07,      0.07,      0.05,      0.03,      0.03,      0.02,      0.04,      0.16,      0.61,
Bosque del Apac,BOAP1, SO4f,     33.87,   -106.85,   1389.00,      0.38,      0.60,      0.53,      0.79,      0.92,      1.30,      1.10,      1.12,      1.56,      1.17,      0.57,      0.27,      0.19,      0.52,      0.15,      0.29,      0.26,      0.60,      0.33,      0.78,      0.80,      0.78,      0.40,      0.13,
